ROLENAME,ROLEUSER
UCCS_FASO_FA_MANAGER_3,19609
UCCS_FASO_FA_MANAGER_2,1087593
UCCS_FASO_FA_MANAGER_1,1903844
UCCS_FASO_FAO_COUNSL,973930
UCCS_FASO_FAO_FSP,1939016
UCCS_FASO_FAO_3_SCHOL,1077359
UCCS_FASO_FAO_4_SCHOL,1540272
UCCS_FASO_BSA,1086174
UCCS_FASO_IRA_4,1049158
UCCS_FASO_FSA_3,236732
UCCS_FASO_FSA_4,301286
UCCS_FASO_FSA_2,1777778
UCCS_FASO_FA,1777773
UCCS_FASO_PPA_FAO,1798932
UCCS_FASO_FAO_4_SSE,973764
UCCS_FASO_PPA_3_COMMS,1643397
UCCS_FASO_FA_MANAGER_2,1080239
UCCS_FASO_FA_MANAGER_3,1703867
UCCS_FASO_FA_MANAGER_1,7998
UCCS_FASO_FA_MANAGER_1,1112357
UCCS_FASO_FA_MANAGER_1,1860474
UCCS_FASO_FA_MANAGER_1,1900416
UCCS_FASO_FA_MANAGER_1,1049333
UCCS_FASO_FAO_COUNSL,1127407
UCCS_FASO_FAO_COUNSL,319304
UCCS_FASO_FAO_FSP,1643240
UCCS_FASO_FAO_FSP,1982330
UCCS_FASO_FAO_FSP,192300
UCCS_FASO_FAO_FSP,1875730
UCCS_FASO_FAO_3_SCHOL,1888450
UCCS_FASO_FAO_4_SCHOL,1085823
UCCS_FASO_BSA,1598492
UCCS_FASO_BSA,168981
UCCS_FASO_BSA,1955302
UCCS_FASO_BSA,975226
UCCS_FASO_BSA,285132
UCCS_FASO_IRA_4,1611941
UCCS_FASO_FSA_3,1843587
UCCS_FASO_FSA_3,54911
UCCS_FASO_FSA_3,235920
UCCS_FASO_FA,1012476
UCCS_FASO_FA,1995457
UCCS_FASO_PPA_FAO,1041750
UCCS_FASO_PPA_3_COMMS,1041750
