NAV_PERMS,FA Manager 3,Clean_NAV
Main Menu>Student Admissions>Applicant Summaries>Academic Test Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Academic Test Summary
Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary
Main Menu>Student Admissions>Applicant Summaries>Application Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Summary
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary
Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Checklist Summary
Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Comment Summary
Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary:0:Update/Display,x,Main Menu>Student Admissions>3 C's and Event Summaries>Communication Summary
Main Menu>Student Admissions>Applicant Summaries>Education Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Education Summary
Main Menu>Student Admissions>Applicant Summaries>General Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>General Materials Summary
Main Menu>Student Admissions>Application Entry>Academic Information>Education:1:Update/Display,x,Main Menu>Student Admissions>Application Entry>Academic Information>Education
Main Menu>Student Admissions>Application Entry>Personal Information>Electronic Addresses:1:Update/Display,x,Main Menu>Student Admissions>Application Entry>Personal Information>Electronic Addresses
Main Menu>Student Admissions>Application Entry>Personal Information>Languages:1:Update/Display,x,Main Menu>Student Admissions>Application Entry>Personal Information>Languages
Main Menu>Student Admissions>Application Entry>Academic Information>Test Results:1:Update/Display,x,Main Menu>Student Admissions>Application Entry>Academic Information>Test Results
Main Menu>Student Admissions>Application Entry>Relationships>Work Experience:1:Update/Display,x,Main Menu>Student Admissions>Application Entry>Relationships>Work Experience
Main Menu>Curriculum Management>Schedule of Classes>Exam Code Table:1:Update/Display,x,Main Menu>Curriculum Management>Schedule of Classes>Exam Code Table
Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Class Search Configuration:1:Update/Display,x,Main Menu>Set Up SACR>Product Related>Student Records>Curriculum Management>Class Search Configuration
Main Menu>Curriculum Management>Schedule of Classes>Adjust Class Associations:1:Update/Display,x,Main Menu>Curriculum Management>Schedule of Classes>Adjust Class Associations
Main Menu>Curriculum Management>Schedule of Classes>Update Sections of a Class:1:Update/Display,x,Main Menu>Curriculum Management>Schedule of Classes>Update Sections of a Class
Main Menu>Curriculum Management>Schedule of Classes>Class Event Table:1:Update/Display,x,Main Menu>Curriculum Management>Schedule of Classes>Class Event Table
Main Menu>Curriculum Management>Dynamic Dates>Class Section Dynamic Dates:1:Update/Display,x,Main Menu>Curriculum Management>Dynamic Dates>Class Section Dynamic Dates
