NAV_PERMS,FA Manager 3,Clean_NAV,TO_CHAR(A.PORTAL_NAVPATH),ITEMLABEL,Unnamed: 2,Menu,Menubar,MENUITEM2,Page,Display only,Actions,7,OBJECTOWNERID,XLATLONGNAME,XLATSHORTNAME,COMPONENT,PNLNAME,PORTAL_OBJNAME
Main Menu>Student Admissions>Applicant Summaries>Academic Test Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Academic Test Summary,Main Menu>Student Admissions>Applicant Summaries>Academic Test Summary,Academic Test Su&mmary,,EVALUATE_APPLICANTS,INQUIRE,ACADEMIC_TEST_SUMMARY,ACADEMIC_TEST_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,ACAD_TEST_SUMM,STDNT_TEST_SUMMARY,HC_ACAD_TEST_SUMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,&Committee Results,,EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,COMMITTEE_RESULTS,0,2,2,SAD,Recruiting and Admissions,Admissions,ADM_EVAL_CMP_SUM,ADM_EVAL_COMM_SUMM,HC_ADM_EVAL_CMP_SUM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,&Evaluator Results,,EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,EVALUATOR_RESULTS,0,2,2,SAD,Recruiting and Admissions,Admissions,ADM_EVAL_CMP_SUM,ADM_EVALUATOR_SUMM,HC_ADM_EVAL_CMP_SUM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,&Overall Results,,EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,OVERALL_RESULTS,0,2,2,SAD,Recruiting and Admissions,Admissions,ADM_EVAL_CMP_SUM,ADM_EVAL_SUMM,HC_ADM_EVAL_CMP_SUM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,Main Menu>Student Admissions>Applicant Summaries>Application Evaluation Summary,Evaluator &Detail,,EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,EVALUATOR_DETAIL,0,2,2,SAD,Recruiting and Admissions,Admissions,ADM_EVAL_CMP_SUM,ADM_EVAL_DTL_SUMM,HC_ADM_EVAL_CMP_SUM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Summary,Main Menu>Student Admissions>Applicant Summaries>Application Summary,Application Su&mmary,,EVALUATE_APPLICANTS,INQUIRE,APPLICATION_SUMMARY,APPLICATION_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,ADM_APPL_SUMM,ADM_APPL_SUMM,HC_ADM_APPL_SUMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,&Academic Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_SUMM_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_SUMM_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,&Course Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_CRSE_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_CRSE_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,&Materials Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_MATL_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_MATL_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary:0:Update/Display,x,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,Main Menu>Student Admissions>Applicant Summaries>Application Materials Summary,&Test Score Summary,,EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_TEST_SUMMARY,0,2,2,SAD,Recruiting and Admissions,Admissions,APPL_SUMMARY_ADMM,APPL_TEST_SUMMARY,HC_APPL_SUMMARY_ADMM_GBL
