Menu,Menubar,MENUITEM2,Page,Display only,Actions,7
EVALUATE_APPLICANTS,INQUIRE,ACADEMIC_TEST_SUMMARY,ACADEMIC_TEST_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,COMMITTEE_RESULTS,0,2,2
EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,EVALUATOR_RESULTS,0,2,2
EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,OVERALL_RESULTS,0,2,2
EVALUATE_APPLICANTS,INQUIRE,ADM_EVAL_CMP_SUM,EVALUATOR_DETAIL,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPLICATION_SUMMARY,APPLICATION_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_SUMM_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_CRSE_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_MATL_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_TEST_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_SUBJ_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,APPL_SUMMARY,APPL_TRNS_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,CHECKLIST_SUMMARY,CHECKLIST_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,CHECKLIST_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2
EVALUATE_APPLICANTS,INQUIRE,COMMENT_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2
EVALUATE_APPLICANTS,INQUIRE,COMMENT_SUMMARY,COMMENT_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,COMMUNICATION_SUMMARY,OPERATOR_3C_GROUPS_SUM,0,2,2
EVALUATE_APPLICANTS,INQUIRE,COMMUNICATION_SUMMARY,COMMUNICATION_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_ACADEMIC_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_COURSE_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_DEGREE_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,EDUCATION_SUMMARY,EXTERNAL_SUBJECT_SUMMARY,0,2,2
EVALUATE_APPLICANTS,INQUIRE,GENERAL_MATERIAL_SUMMARY,GENERAL_MATERIAL_SUMMARY,0,2,2
PROCESS_APPLICATIONS,USE,EDUCATION,SAD_EXT_EDUCATION2,0,2,2
PROCESS_APPLICATIONS,USE,EDUCATION,SAD_EXT_EDUCATION,0,2,2
PROCESS_APPLICATIONS,USE,EDUCATION,SAD_EXT_EDUC_REG,0,2,2
PROCESS_APPLICATIONS,USE,EDUCATION,SAD_EXT_EDUC_TRCR,0,2,2
PROCESS_APPLICATIONS,USE,ELECTRONIC_ADDRESSES,E_ADDR_PERS,0,2,2
PROCESS_APPLICATIONS,USE,SCC_LANGUAGES_PERS,SCC_LANGUAGES,0,2,2
PROCESS_APPLICATIONS,USE,TEST_RESULTS,TEST_RESULTS,0,2,2
PROCESS_APPLICATIONS,USE,WORK_EXPERIENCE,WORK_EXPERIENCE,0,2,2
DEFINE_STUDENT_RECORDS,SETUP,EXAM_CODE,EXAM_CODE,0,2,2
DEFINE_STUDENT_RECORDS,SETUP,SSR_CLSRCH_CONFIG,SSR_CLSDTL_CONFIG,0,2,2
DEFINE_STUDENT_RECORDS,SETUP,SSR_CLSRCH_CONFIG,SSR_CLSRSLT_CONFIG,0,2,2
DEFINE_STUDENT_RECORDS,SETUP,SSR_CLSRCH_CONFIG,SSR_CLSRCH_CONFIG,0,2,2
ESTABLISH_COURSES,USE,CLASS_ASSOCIATIONS,CLASS_ASSOCIATIONS,0,2,2
ESTABLISH_COURSES,USE,CLASS_ASSOCIATIONS,CLASS_ASSOC_CMPNT,0,2,2
ESTABLISH_COURSES,USE,CLASS_ASSOCIATIONS,CLASS_ASSOCIATION_REQUISITES,0,2,2
ESTABLISH_COURSES,USE,CLASS_ASSOCIATIONS,RQS_CAT_WRK,0,2,2
ESTABLISH_COURSES,USE,CLASS_SECTIONS,CLASS_CONTROL,0,2,2
ESTABLISH_COURSES,USE,CLASS_SECTIONS,CLASS_CONTROL_WRK,0,2,2
ESTABLISH_COURSES,USE,COURSE_EVENT_TABLE,COURSE_EVENT_TABLE,0,2,2
ESTABLISH_COURSES,USE,DYNAMIC_CLASS_DATES,DYN_CLASS_MTG_PAT,0,2,2
ESTABLISH_COURSES,USE,DYNAMIC_CLASS_DATES,DYN_CLASS_DATA1,0,2,2
ESTABLISH_COURSES,USE,DYNAMIC_CLASS_DATES,DYN_CLASS_DATA_MSG,0,2,2
ESTABLISH_COURSES,USE,INSTRUCTOR_SCHEDULE,INSTR_CLASS,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_ENRL_CN_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_NOTES_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_ATTR_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_EXAM_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_TBL_GL_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_MTG_PAT_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_M_P_WRK_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_RSRV_CP_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_ENTRY_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,CLASS_TBL_G_W_SCTN,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_CLASS_MTG,WORKLOAD_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_ENROLLMENT_CONTROL,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_TBL_GL,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_NOTES,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_ATTR_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_EXAM,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_LMS_SETUP,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_MEETING_PATTERN/INSTR,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_MEETING_PATTERN_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_RESERVE_CAPACITY,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_SCHEDULE_ENTRY,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,CLASS_TBL_GL_WRK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,SSR_CLASS_TEXTBOOK,0,2,2
ESTABLISH_COURSES,USE,SCHEDULE_OF_CLASSES,WORKLOAD_WRK,0,2,2
ESTABLISH_COURSES,USE,SECTIONS_COMBINED,SECTIONS_COMBINED,0,2,2
ESTABLISH_COURSES,USE,SECTIONS_COMBINED,WORKLOAD_WRK,0,2,2
